address,total_supplied_balance,total_borrowed_balance,total_repaid_balance,total_withdrawn_balance,total_balance
0x00000000000000000000000000000000004a5226,1132.12535593,10000,10001.01010953,0,1133.13546546
0x00000000000000000000000000000000007c867c,11.95000412,1,0,0,10.95000412
0x00000000000000000000000000000000000ce6a4,12852.06034512,0,0,0,12852.06034512
0x00000000000000000000000000000000003bec55,5000,0,0,0,5000
0xca77ca38eb8bb5f8acc391cf2db774d6702d174b,2000,0,0,0,2000
0x00000000000000000000000000000000001a040c,19500,0,0,0,19500
0x000000000000000000000000000000000041fc5d,18.05138925,0,0,0,18.05138925
0x00000000000000000000000000000000000fd04e,9944.05110496,0,0,0,9944.05110496
0x00000000000000000000000000000000006e3566,940224.28801142,0,0,940224.76757136,-0.47955994
0x000000000000000000000000000000000077fd8d,19415.18072419,0,0,14187.26779835,5227.91292584
0x0000000000000000000000000000000000769086,457.25490126,0,0,457.28366629,-0.02876503
0x000000000000000000000000000000000007c64e,50000,0,0,0,50000
0x000000000000000000000000000000000047a3f1,115.34486023,0,0,0,115.34486023
0x00000000000000000000000000000000004ee88c,674,0,0,0,674
0x00000000000000000000000000000000000cb41f,1052.74368696,0,0,0,1052.74368696
0x4dc389b40e960cd0d011f28419bb3da5f00d4937,228.57953719,0,0,0,228.57953719
0x0000000000000000000000000000000000213104,145.16437116,0,0,0,145.16437116
0x000000000000000000000000000000000013c35a,1000,0,0,0,1000
0x00000000000000000000000000000000003c8075,112156.06553344,0,0,0,112156.06553344
0x00000000000000000000000000000000007a944e,0,300,300,0,0
0x00000000000000000000000000000000007ba1a6,15.31951961,0,0,0,15.31951961
0x00000000000000000000000000000000004230b6,0,140.94883092,0,0,-140.94883092
0x000000000000000000000000000000000041bedd,0,300,0,0,-300
0x00000000000000000000000000000000007871ad,0,73,72.00278712,0,-0.99721288
0x000000000000000000000000000000000044a185,0,494.64795959,0,0,-494.64795959
0x0000000000000000000000000000000000458062,0,170.78292372,0,0,-170.78292372
0x00000000000000000000000000000000000dcc2d,50000.54787819,0,0,0,50000.54787819
0x0000000000000000000000000000000000150f46,500,0,0,0,500
0x00000000000000000000000000000000003a8883,0,100,100,0,0
0x00000000000000000000000000000000003e7050,4406.21980758,0,0,0,4406.21980758
0x00000000000000000000000000000000007c52e1,200,0,0,0,200
0x0000000000000000000000000000000000538c99,5,0,0,4.99999999,1E-8
0x00000000000000000000000000000000003a0489,750,0,0,750.0012715,-0.0012715
0x000000000000000000000000000000000078a9b3,74.34077818,0,0,0,74.34077818
