address,amount_to_distribute,hbar_returned
0x00000000000000000000000000000000004A5226,189864.645292,262.0132105
0x00000000000000000000000000000000007c867c,2.069366,0.00285573
0x00000000000000000000000000000000007Cd388,8438850.0,11645.613
0x00000000000000000000000000000000003BeC55,285000.0,393.3
0x000000000000000000000000000000000046108F,530099.8097150001,731.53773741
0xDb6c42a2bAA04055f26C9F33B5Dd08E3b4041BA9,375690.56155000004,518.45297494
0x9692aA6A9B08ed6B10a802DC13C2fFFDd49708F7,79904.85435,110.268699
0x000000000000000000000000000000000016670e,3132980.327569,4323.51285205
0x00000000000000000000000000000000000a2174,115531.07000800001,159.43287661
0x000000000000000000000000000000000009D345,57000.0,78.66
0x00000000000000000000000000000000000D2fD8,386528.15433,533.40885298
0x0000000000000000000000000000000000139D09,692572.312859,955.74979175
0x00000000000000000000000000000000004af644,12896.850704000002,17.79765397
0x0000000000000000000000000000000000156DF1,380000.0,524.4
0x00000000000000000000000000000000003C8C96,3787690.8847319996,5227.01342093
0x00000000000000000000000000000000001682be,949999.999905,1310.99999987
0x00000000000000000000000000000000001A040C,218768.36251700003,301.90034027
0x000000000000000000000000000000000041Fc5d,70.64722499999999,0.09749317
0x0000000000000000000000000000000000108Ef6,959998.0035280001,1324.79724487
0x0000000000000000000000000000000000429F4D,95210.93800000001,131.39109444
0x00000000000000000000000000000000001b4149,123500.0,170.43
0x00000000000000000000000000000000000E5741,27360.170069,37.7570347
0x00000000000000000000000000000000000EfE11,12350.0,17.043
0x00000000000000000000000000000000001059C9,296.697654,0.40944276
0x000000000000000000000000000000000077c0E1,147187.177355,203.11830475
0x000000000000000000000000000000000041e3Be,28910.011374,39.8958157
0x00000000000000000000000000000000000b11CF,5700000.0,7866.0
0x00000000000000000000000000000000000fcd6C,190468.63234,262.84671263
0x0000000000000000000000000000000000794984,90017.720478,124.22445426
0x00000000000000000000000000000000000c17d4,950000.0,1311.0
0x0000000000000000000000000000000000140eF8,941273.878493,1298.95795232
0x0000000000000000000000000000000000769086,96321.835206,132.92413258
0x00000000000000000000000000000000002e6741,812249.62779,1120.90448635
0x000000000000000000000000000000000014C122,404014.79908599996,557.54042274
0x00000000000000000000000000000000002167E9,3044.75,4.201755
0x000000000000000000000000000000000042396a,8987.314222,12.40249363
0x00000000000000000000000000000000000A1dc7,2982260.938551,4115.5200952
0x00000000000000000000000000000000003C8371,81191.134267,112.04376529
0x000000000000000000000000000000000047A3F1,3817.4317020000003,5.26805575
0x00000000000000000000000000000000002a51bC,631.585061,0.87158738
0x00000000000000000000000000000000003053AF,35195.850591,48.57027382
0xa924468e8a1ec92b088B65fb340Dde454726cc66,759999.9999810001,1048.79999997
0x000000000000000000000000000000000015Bfa9,57000.000171,78.66000024
0x00000000000000000000000000000000006d30bE,2105721.955707,2905.89629888
0x00000000000000000000000000000000000C1aE6,633857.617199,874.72351173
0x00000000000000000000000000000000003dC029,5351.172464,7.384618
0x0000000000000000000000000000000000459917,1901900.0,2624.622
0x4dc389B40e960Cd0D011f28419bB3da5F00D4937,352298.396093,486.17178661
0x000000000000000000000000000000000007461C,190000.0,262.2
0x0000000000000000000000000000000000201A76,27802.694091,38.36771785
0x00000000000000000000000000000000001f7684,25701.071829,35.46747912
0x0000000000000000000000000000000000426283,19000.000171,26.22000024
0x000000000000000000000000000000000016A7B0,950000.0,1311.0
0x0000000000000000000000000000000000135d0C,19000000.0,26220.0
0x00000000000000000000000000000000001a113e,1988840.450135,2744.59982119
0x00000000000000000000000000000000000c1104,50079.636194,69.10989795
0x00000000000000000000000000000000003fFb2a,4750.000019,6.55500003
0x00000000000000000000000000000000004230b6,8600.073645,11.86810163
0x00000000000000000000000000000000003C3114,2859.481057,3.94608386
0x00000000000000000000000000000000005e8392,213525.888046,294.6657255
0x000000000000000000000000000000000041BedD,194943.748909,269.02237349
0x0000000000000000000000000000000000466d43,6234.788801000001,8.60400855
0x00000000000000000000000000000000003483b5,81887.591294,113.00487599
0x0000000000000000000000000000000000739f4A,956.5854380000001,1.3200879
0x000000000000000000000000000000000010b2E1,76666.93837999999,105.80037496
0x0000000000000000000000000000000000311048,190000.47150400002,262.20065068
0x0000000000000000000000000000000000168E29,190000.0,262.2
0x00000000000000000000000000000000000cF1b1,4750.0,6.555
0x00000000000000000000000000000000000cb72B,108112.26331800001,149.19492338
0x0000000000000000000000000000000000096911,1900000.0,2622.0
0x00000000000000000000000000000000007c52E1,19000.0,26.22
0x00000000000000000000000000000000000bE603,3800000.000057,5244.00000008
0x0000000000000000000000000000000000079F4E,2372877.226501,3274.57057257
0x00000000000000000000000000000000000eacc5,57329.75222,79.11505806
0x000000000000000000000000000000000040e5D0,30412.826254,41.96970023
0x0000000000000000000000000000000000076679,2850000.0,3933.0
0x000000000000000000000000000000000049e6A8,108474.231159,149.694439
0x00000000000000000000000000000000000Cc8f6,155874.92942600002,215.10740261
0x00000000000000000000000000000000006262d6,2381793.752233,3286.87537808
0x00000000000000000000000000000000004274ea,138468.188638,191.08610032
0x00000000000000000000000000000000003a0489,7410.0,10.2258
0x4CFB6094446c3e086D3d2636b1a2f19628D4714b,289637.833177,399.70020978

